,tipo_transaccion,nombre_comercio,giro_nombre,mcc_nombre,fecha_transaccion,ope_pais,entry_mode,sexo_cliente,estado_cliente,edad_cliente,monto_transaccion,id_cliente,tiempo,cluster,hormiga
1,TDD,OXXO UNIVERSITARIO    QUERETARO QROQU,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",25/01/23,MX,CARD PRESENT,M,SONORA,19,31.66,896,78,4,1
2,TDD,SR PAGO*MILLAS RETIRO MIGUEL HIDALG001,AGREGADOR,AGREGADOR,07/03/23,MX,CARD NOT PRESENT,M,GUANAJUATO,53,34.9,4372,119,4,
3,TDD,WENDYS LAS TORRES     CD JUAREZ CHICOL,COMIDA RAPIDA,COMIDA RAPIDA,24/11/22,MX,CARD PRESENT,M,CHIHUAHUA,22,237,1749,16,2,
4,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,26/01/23,MX,CARD NOT PRESENT,F,NUEVO LEON,23,14.94,1594,79,4,0
5,TDD,SC*PLAYDOIT           GOMEZ PALACIO010,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),06/02/23,MX,CARD NOT PRESENT,M,CHIAPAS,25,59.85,5446,90,4,
6,TDC,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",10/12/22,MX,CARD NOT PRESENT,M,JALISCO,31,60.85,626,32,4,1
7,TDD,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",27/12/22,MX,CARD NOT PRESENT,M,NUEVO LEON,21,39.88,9840,49,4,
8,TDD,YouTubePremium           London,OTROS,BIENES DIGITALES APLICACIONES,24/02/23,GB,CARD NOT PRESENT,M,MEXICO,54,129.21,5709,108,4,
9,TDC,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",12/02/23,MX,CARD NOT PRESENT,M,QUERETARO,29,44.88,450,96,4,1
10,TDD,APPLE.COM/BILL           866-712-7753,RETAIL,TIENDA DE DISCOS,19/12/22,US,CARD NOT PRESENT,M,NUEVO LEON,25,18.43,2566,41,4,
11,TDC,STRIPE *UBER PENDING  CIUDAD DE MEXCMX,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",22/02/23,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,45,29.59,5846,106,4,
12,TDC,MERCADO PAGO 4        CIUDAD DE MEX001,OTROS,MERCADO DIRECTO - VENTAS POR CATALOGO,02/03/23,MX,CARD NOT PRESENT,F,QUERETARO,26,194.93,524,114,2,0
13,TDC,ABAR MERZA HELIODORO HGUADALAJARA JJA,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",09/12/22,MX,CARD PRESENT,M,JALISCO,31,15.44,626,31,4,1
14,TDC,STARBUCKS ANTARA II   MEXICO DF    DF,COMIDA RAPIDA,COMIDA RAPIDA,16/02/23,MX,CARD PRESENT,F,MEXICO,31,34.9,4894,100,4,
15,TDC,NATGAS MEX MU         MEXICO DF    DF,RETAIL,"DISTRIBUIDOR DE GAS LICUADO,LEA,DIESEL,PETROLEO",13/12/22,MX,CARD NOT PRESENT,M,PUEBLA,33,156.66,682,35,2,0
16,TDD,SC*CALIENTE2          TIJUANA BCN  003,RETAIL,CASINOS CASAS DE JUEGO (APUESTAS INCLUYE BILLETES),11/02/23,MX,CARD NOT PRESENT,M,NUEVO LEON,35,209.55,3626,95,2,
17,TDC,NETFLIX COM 1         MEXICO DF    DF,ENTRETENIMIENTO,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,27/12/22,MX,CARD NOT PRESENT,M,JALISCO,30,119.23,1641,49,4,
18,TDC,STP*UBER PENDING      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",11/11/22,MX,CARD NOT PRESENT,F,NUEVO LEON,44,61.63,9305,3,4,
19,TDC,DLOCAL*DIDI FOOD      CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",22/11/22,MX,CARD NOT PRESENT,M,MEXICO,57,115.74,2505,14,4,
20,TDD,DLOCAL*DIDI RIDES     CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",02/12/22,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,25,78.02,6640,24,4,
21,TDD,SEPULVEDA             GUADALUPE NL NLE,MISCELANEAS,"ABARROTES, CARNICERIAS, PESCADERIAS, MISCELANEAS,",15/01/23,MX,CARD PRESENT,F,NUEVO LEON,54,101.27,2127,68,4,
22,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,08/12/22,MX,CARD NOT PRESENT,M,CIUDAD DE MEXICO,21,326.82,964,30,2,0
23,TDC,UBER                  CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",29/11/22,MX,CARD NOT PRESENT,F,COAHUILA DE ZARAGOZA,57,19.93,5120,21,4,
24,TDD,OXXO TERRANOVA        MONTERREY NL NL,RETAIL,"TIENDAS DE CONVENIENCIA, MINISUPER",14/01/23,MX,CARD PRESENT,M,NUEVO LEON,30,41.89,7743,67,4,
25,TDD,MERCADO PAGO          CIUDAD DE MEXDF,OTROS,MERCADEO DIRECTO - NO CLASIFICADO,28/02/23,MX,CARD NOT PRESENT,M,CHIAPAS,25,14.94,5446,112,4,
3014,TDD,CINEPOLIS APP TICKETS MORELIA MICH 16,ENTRETENIMIENTO,"CINES, TEATROS",01/02/23,MX,CARD NOT PRESENT,F,CIUDAD DE MEXICO,28,265.44,98,85,2,0
27,TDD,STP*UBER TRIP         CIUDAD DE MEX001,TRANSPORTE TERRESTRE DE PASAJEROS,"LIMOSINAS, (TAXIS)",01/02/23,MX,CARD NOT PRESENT,F,MEXICO,27,89.4,8095,85,4,
