"","tipo_transaccion","nombre_comercio","giro_nombre","mcc_nombre","fecha_transaccion","ope_pais","entry_mode","sexo_cliente","estado_cliente","edad_cliente","monto_transaccion","id_cliente","tiempo","cluster"
"1","TDC","STP*UBER TRIP         CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-01,"MX","CARD NOT PRESENT","F","OAXACA",32,74.81,9709,23,4
"2","TDD","FUNDACION RAFAEL D MU CIUDAD DE MEXDF","BENEFICENCIA","ORGANIZACIONES DE SERVICIO SOCIAL ( BENEFICENCIA)",2022-11-22,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",37,238.78,9370,14,2
"3","TDC","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2022-12-20,"MX","CARD NOT PRESENT","M","MEXICO",38,91.19,5210,42,4
"4","TDD","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-12,"MX","CARD NOT PRESENT","M","SINALOA",21,32.95,1280,34,4
"5","TDC","SNP*MERCADOPAGO       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2022-12-14,"MX","CARD NOT PRESENT","M","PUEBLA",28,487.5,6657,36,3
"6","TDD","STR*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-01-25,"MX","CARD NOT PRESENT","F","CIUDAD DE MEXICO",28,36.4,98,78,4
"7","TDC","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-11-10,"MX","CARD NOT PRESENT","M","NUEVO LEON",23,34.86,5458,2,4
"8","TDD","CONEKTA*OXXO          MONTERREY NL 019","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2023-01-13,"MX","CARD NOT PRESENT","M","SONORA",29,59.85,7454,66,4
"9","TDD","STP*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-06,"MX","CARD NOT PRESENT","F","MEXICO",26,64.8,6634,28,4
"10","TDD","Google KitkaGames        650-2530000","OTROS","SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS",2023-02-10,"US","CARD NOT PRESENT","F","JALISCO",36,15.93,1490,94,4
"11","TDD","NAYAX1 *NAYAX GLOBAL VMEXICO DF    DF","AGREGADOR","AGREGADOR",2023-03-02,"MX","CARD PRESENT","F","NUEVO LEON",22,17.93,8817,114,4
"12","TDD","CARGOS SKY POS SC     CIUDAD DE MEX000","ENTRETENIMIENTO","PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO",2023-01-12,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",29,139.69,4405,65,4
"13","TDD","SC*CALIENTEMX2        TIJUANA BCN  001","ENTRETENIMIENTO","CLUBES DEPORTIVOS PROFESIONALES, (HIPODROMOS,",2022-11-29,"MX","CARD NOT PRESENT","M","COAHUILA DE ZARAGOZA",33,59.85,7532,21,4
"14","TDD","STRIPE *UBER EATS     CIUDAD DE MEXCMX","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2023-02-28,"MX","CARD NOT PRESENT","F","CHIAPAS",29,17.44,4523,112,4
"15","TDC","BAZ SUPER APP         CIUDAD DE MEX001","OTROS","SERV PROC DATOS - DISENO Y PROGRAM DE SISTEMAS",2023-01-02,"MX","CARD NOT PRESENT","M","GUANAJUATO",33,599.17,7628,55,3
"16","TDC","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-11-10,"MX","CARD NOT PRESENT","F","MEXICO",36,27.81,8988,2,4
"17","TDC","ZTL*GRUPOGASTRONOMICOYCIUDAD DE MEX001","AGREGADOR","AGREGADOR",2022-12-29,"MX","CARD PRESENT","M","MICHOACAN DE OCAMPO",21,42.39,1250,51,4
"18","TDD","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2022-12-23,"MX","CARD NOT PRESENT","F","NUEVO LEON",37,84.84,3321,45,4
"19","TDC","CINEPOLIS WEB         MORELIA MICH 16","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-12-19,"MX","CARD NOT PRESENT","F","MEXICO",37,285.4,7360,41,2
"20","TDC","SHOPPE MX             MIGUEL HIDALGDF","OTROS","SERVICIOS EMPRESARIALES - NO CLASIFICADOS",2022-12-01,"MX","CARD NOT PRESENT","M","CHIAPAS",22,46.25,7997,23,4
"21","TDC","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-02-02,"MX","CARD NOT PRESENT","F","MEXICO",54,79.86,8908,86,4
"22","TDC","OXXO CAPULINES        TAPACHULA CHICI","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-12-14,"MX","CARD PRESENT","M","CHIAPAS",37,27.91,9333,36,4
"23","TDD","STP*UBER EATS PENDING CIUDAD DE MEX001","OTROS","TRASLADOS - FLETES, (SERVICIOS DE MENSAJERIA)",2022-11-14,"MX","CARD NOT PRESENT","F","MEXICO",19,287.4,6732,6,2
"24","TDC","OPENPAY*RAPPI         CIUDAD DE MEXCMX","AGREGADOR","AGREGADOR",2023-01-21,"MX","CARD NOT PRESENT","M","MEXICO",23,16.53,4560,74,4
"25","TDD","D LOCAL*HBO MAX       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-01-17,"MX","CARD NOT PRESENT","M","CIUDAD DE MEXICO",30,47.13,6274,70,4
"26","TDD","DLOCAL*DIDI RIDES     CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-01-23,"MX","CARD NOT PRESENT","M","MEXICO",29,29.06,6055,76,4
"27","TDD","STARBUCKS U ANAHUAC MEMERIDA YUC   YU","COMIDA RAPIDA","COMIDA RAPIDA",2023-02-22,"MX","CARD PRESENT","M","YUCATAN",19,95.78,5813,106,4
"28","TDC","STR*UBER PENDING      CIUDAD DE MEX001","TRANSPORTE TERRESTRE DE PASAJEROS","LIMOSINAS, (TAXIS)",2023-01-27,"MX","CARD NOT PRESENT","M","GUANAJUATO",30,53.44,2967,80,4
"29","TDC","SHEIN.COM                SINGAPORE","RETAIL","BOUTIQUES ROPA - PARA TODA LA FAMILIA",2023-01-02,"SG","CARD NOT PRESENT","M","YUCATAN",28,524.77,4907,55,3
"30","TDD","MERCADO PAGO          CIUDAD DE MEXDF","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2022-11-22,"MX","CARD NOT PRESENT","M","PUEBLA",25,34.9,8076,14,4
"31","TDD","D LOCAL*INDRIVE       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-01-25,"MX","CARD NOT PRESENT","M","COAHUILA DE ZARAGOZA",23,49.37,5677,78,4
"32","TDD","D LOCAL*INDRIVE       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-02-02,"MX","CARD NOT PRESENT","M","SAN LUIS POTOSI",32,34.9,282,86,4
"33","TDD","D LOCAL*INDRIVE       CIUDAD DE MEX001","AGREGADOR","AGREGADOR",2023-02-08,"MX","CARD NOT PRESENT","M","QUERETARO",40,59.85,8129,92,4
"34","TDD","7 ELEVEN T2356        APODACA NL   NL","RETAIL","TIENDAS DE CONVENIENCIA, MINISUPER",2022-12-30,"MX","CARD PRESENT","M","NUEVO LEON",56,96.78,3992,52,4
"35","TDD","PAYPAL3               MEXICO DF    DF","AGREGADOR","AGREGADOR",2023-02-23,"MX","CARD NOT PRESENT","M","MEXICO",39,282.5,6722,107,2
"36","TDD","LIVERPOOL POR INTERNETMEXICO DF    000","OTROS","MERCADEO DIRECTO - NO CLASIFICADO",2023-01-19,"MX","CARD NOT PRESENT","F","COAHUILA DE ZARAGOZA",25,781.14,5891,72,1
"37","TDD","CONTEL EXPERIENCIAS   BENITO JUAREZQR","AGENCIAS DE VIAJES","AGENCIAS DE VIAJES OPERADORAS DE VIAJES",2023-02-20,"MX","CARD PRESENT","M","QUINTANA ROO",23,24.92,7993,104,4
